Longitude	Latitude
65.284	20.764
67.333	20.200
67.180	18.630
88.550	8.860
88.792	6.255
91.701	3.798
95.668	9.541
89.483	17.333
88.998	13.472
88.500	10.165
110.028	-14.046
118.073	-15.019
135.022	28.891
132.120	20.633
132.239	12.991
152.127	30.517
155.729	19.283
153.860	11.932
145.640	4.043
153.537	-14.715
158.453	-15.664
164.990	-5.373
-176.262	-9.505
152.127	30.517
-155.165	-7.6917
-156.538	19.556
161.700	-44.790
160.343	-46.956
148.650	38.760
155.653	44.401
163.435	48.110
171.897	50.153
178.237	48.963
-173.897	48.045
-169.876	49.666
-163.948	50.978
-156.778	52.663
-152.483	53.726
-148.547	55.318
-139.950	52.980
-143.734	57.644
-134.395	49.901
-129.616	48.805
-128.775	45.848
-128.835	42.705
-127.070	39.335
-106.987	16.001
-100.016	10.936
-61.655	41.904
-70.639	39.289
-89.287	25.900
-90.868	4.958
-65.650	28.633
-67.517	23.370
-63.902	23.373
-68.188	15.229
-79.101	2.998
-81.211	0.255
-81.664	-0.888
-73.421	-20.474
-72.037	-23.163
-73.983	-26.743
-73.799	-32.123
-75.243	-35.758


